,scenario_name,first_depletion,30per_depletion,coverage (mean),coverage (stdev),overlapping (mean),overlapping (stdev),nb_sleeping (mean),nb_sleeping (stdev),initial_fitness (mean),initial_fitness (stdev),final_fitness (mean),final_fitness (stdev),term1_initial (mean),term1_initial (stdev),term2_initial (mean),term2_initial (stdev),term1_final (mean),term1_final (stdev),term2_final (mean),term2_final (stdev)
0,FCM,938,1199,,,,,,,,,,,,,,,,,,
1,DC,246,751,,,,,,,,,,,,,,,,,,
2,LEACH,489,805,,,,,,,,,,,,,,,,,,
3,MTE,93,281,,,,,,,,,,,,,,,,,,
4,FCM + Pso,901,1273,0.9782302446543851,0.010011978834397159,0.0,0.0,0.08051019519596274,0.023114979864800152,0.7751715718743636,0.02084843621639704,0.9762576478778906,0.008912096198215409,0.5759052086003962,0.03593005355811232,0.693809214714741,0.031059822247912636,0.9206184894188021,0.02459851700933242,0.9771337081131086,0.010161937666952184
5,FCMMPSO,883,1838,0.7314744680085036,0.052105160530742684,0.0,0.0,0.4890523439790881,0.03451662230019367,0.5871289536397624,0.021829803495308532,0.6330299161394918,0.03610936981727222,0.5196228637343685,0.06461367443941272,0.6546350450102724,0.06582079315944755,0.5358357957876431,0.07852792020166488,0.7302240364680846,0.05242610294081761
6,FCM (2),921,1199,,,,,,,,,,,,,,,,,,
7,DC (2),246,751,,,,,,,,,,,,,,,,,,
8,LEACH (2),497,828,,,,,,,,,,,,,,,,,,
9,MTE (2),93,281,,,,,,,,,,,,,,,,,,
10,FCM + Pso (2),904,1276,0.9784107849902567,0.00962981347169716,0.0,0.0,0.08019673479758942,0.02229633606567041,0.775380193001456,0.0203316605319165,0.976264432494478,0.008556710571703291,0.5767537391678286,0.03473357952741169,0.6938093807648044,0.030272789553465088,0.9204137873904981,0.02419558681208284,0.9773480781363273,0.009823996868672039
11,FCMMPSO (2),868,1831,0.7339184885159502,0.05385205816186664,0.0,0.0,0.4869803733192236,0.03531097311551305,0.58736517639007,0.02239162616699576,0.6330427801286852,0.03561594807480925,0.5198149546146206,0.06301003654645404,0.6549153995079664,0.06554719528538175,0.5332069541023051,0.07755702332292193,0.7328786070422476,0.05426308981718771
